step,energy,theta0,theta1,theta2,theta3,theta4,theta5
0,-1.10245451375218,0.2,-0.3,0.1,0.05,0.0,0.0
1,-1.10245451375218,0.2,-0.3,0.1,0.05,0.0,0.0
2,-0.8687209209423349,1.2,-0.3,0.1,0.05,0.0,0.0
3,-0.792774340226516,-1.418034,-0.3,0.1,0.05,0.0,0.0
4,-1.0785428180595327,-0.418033974844,-0.3,0.1,0.05,0.0,0.0
5,-1.047412008308733,0.581966,-0.3,0.1,0.05,0.0,0.0
6,-1.1102896739419517,-0.003187122824008598,-0.3,0.1,0.05,0.0,0.0
7,-1.1102898173942548,-0.005218994062248683,-0.3,0.1,0.05,0.0,0.0
8,-1.1102883848041198,-0.0072711840128711624,-0.3,0.1,0.05,0.0,0.0
9,-1.1102898173942548,-0.005218994062248683,-0.3,0.1,0.05,0.0,0.0
10,-0.9417316735322722,-0.005218994062248683,0.7,0.1,0.05,0.0,0.0
11,-1.2360186946575336,-0.005218994062248683,-1.918034,0.1,0.05,0.0,0.0
12,-1.2109992269544962,-0.005218994062248683,-2.2285873216136878,0.1,0.05,0.0,0.0
13,-1.2359281851431363,-0.005218994062248683,-1.300000025156,0.1,0.05,0.0,0.0
14,-1.2440734956586188,-0.005218994062248683,-1.6819660347647367,0.1,0.05,0.0,0.0
15,-1.2445439305104313,-0.005218994062248683,-1.6098332167795912,0.1,0.05,0.0,0.0
16,-1.2445283946986188,-0.005218994062248683,-1.5967348846017952,0.1,0.05,0.0,0.0
17,-1.2445284241206729,-0.005218994062248683,-1.6229315489573872,0.1,0.05,0.0,0.0
18,-1.2445439305104313,-0.005218994062248683,-1.6098332167795912,0.1,0.05,0.0,0.0
19,-1.2408342344452246,-0.005218994062248683,-1.6098332167795912,1.1,0.05,0.0,0.0
20,-1.2379762371871181,-0.005218994062248683,-1.6098332167795912,-1.5180339999999999,0.05,0.0,0.0
21,-1.243644093225575,-0.005218994062248683,-1.6098332167795912,-0.518033974844,0.05,0.0,0.0
22,-1.2438068212413504,-0.005218994062248683,-1.6098332167795912,0.481966,0.05,0.0,0.0
23,-1.2445741456534118,-0.005218994062248683,-1.6098332167795912,0.005997361485127473,0.05,0.0,0.0
24,-1.2445741393220167,-0.005218994062248683,-1.6098332167795912,0.005057335089978743,0.05,0.0,0.0
25,-1.244574145871877,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.05,0.0,0.0
26,-1.2445696684543763,-0.005218994062248683,-1.6098332167795912,0.04248414158119863,0.05,0.0,0.0
27,-1.2445741400666144,-0.005218994062248683,-1.6098332167795912,0.00786801401147344,0.05,0.0,0.0
28,-1.244574145871877,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.05,0.0,0.0
